Angle (°),Distance (mm)
270.19,2320.75
271.91,2343.25
273.62,2364.50
275.39,2398.75
277.08,2427.25
278.80,2460.25
280.48,2499.75
282.20,2537.25
283.92,2571.00
285.59,2625.50
287.30,2679.00
289.02,2734.75
290.75,2794.00
292.45,2864.00
294.14,2934.00
295.83,3013.75
297.53,3097.00
299.14,3182.50
300.80,3295.25
302.50,3410.75
304.19,3531.75
305.88,3670.75
307.58,3844.50
309.28,3917.50
310.95,3975.25
316.06,4623.00
317.72,4929.25
319.42,5281.75
321.12,5351.50
322.92,5152.50
324.64,5098.50
326.33,5436.25
331.48,5346.00
334.92,4941.50
336.64,4879.25
338.33,4892.00
340.06,4982.25
341.75,5052.25
343.47,5058.50
345.20,4868.25
346.89,4854.25
348.61,4904.00
352.02,5327.00
355.44,0.00
357.11,5331.25
358.92,4146.25
0.67,0.00
2.39,3576.00
4.11,3608.75
9.44,0.00
12.98,0.00
14.62,2531.00
18.23,1917.50
19.95,1954.25
21.59,1997.50
23.30,2043.25
25.02,2098.25
26.69,2157.75
28.42,2152.00
30.16,2082.25
31.91,2031.75
33.56,2095.75
35.27,2176.00
36.94,2240.00
38.64,2211.25
40.48,0.00
42.17,1972.25
45.66,1838.50
47.38,1824.50
49.09,1799.75
50.83,1776.25
52.50,1759.50
54.31,0.00
56.02,1612.25
57.77,1597.75
59.41,1585.25
61.14,1573.00
62.89,1566.00
64.64,0.00
66.33,1470.00
68.09,1445.75
69.80,1439.00
71.39,1491.25
73.12,1539.25
74.95,1411.25
76.61,1429.25
78.30,1478.00
80.02,1469.50
81.70,1442.00
83.58,1424.50
85.33,1419.50
87.02,1442.75
88.67,1501.50
90.38,1534.25
92.14,1498.25
93.89,1443.25
95.55,1523.50
97.14,1691.75
98.89,1650.50
100.59,1664.25
102.30,1688.75
104.00,1719.25
105.67,1751.00
107.28,1807.50
109.00,1856.75
110.75,1780.25
112.50,1713.75
114.25,1648.50
115.98,1594.00
117.69,1542.50
119.44,1495.50
121.19,1454.00
122.86,1453.25
124.56,1504.50
126.23,1562.50
127.94,1627.50
129.58,1699.25
131.31,1777.00
133.02,1863.00
134.64,1961.75
136.30,2078.25
138.02,2210.50
144.55,4175.50
146.28,4143.75
147.98,4126.00
157.33,0.00
151.42,4053.50
153.16,4031.75
154.89,4014.50
156.58,4016.50
158.31,4003.00
160.03,0.00
161.75,3822.75
163.47,3828.25
165.17,3834.00
166.88,3844.75
168.59,3849.00
170.30,0.00
172.02,4044.75
173.72,4074.25
175.42,4111.25
177.16,4140.25
178.81,4160.00
180.52,4198.25
182.23,4254.75
183.97,4304.00
185.64,4386.00
187.38,4287.00
196.75,0.00
192.58,3739.00
199.69,2383.00
201.39,0.00
203.14,2190.75
204.91,2126.00
208.36,2110.25
210.02,2157.50
211.75,2227.75
213.41,2305.75
215.09,2391.50
216.80,2482.25
218.47,2590.75
220.20,2642.00
221.92,2588.00
223.62,2543.50
225.38,2500.50
227.03,2465.50
228.78,2426.50
230.52,2397.00
232.19,2366.25
233.94,2340.25
235.64,2318.00
237.34,2299.50
239.11,2280.50
240.81,2266.75
242.52,2250.00
244.23,2241.25
245.95,2230.50
247.64,2222.50
249.36,2216.50
251.12,2210.75
252.84,2208.75
254.53,2208.75
256.22,2212.25
257.95,2215.50
259.67,2222.75
261.38,2229.50
263.09,2244.00
264.78,2253.75
266.53,2217.50
268.20,2254.50
269.92,2317.25
271.64,2338.75
273.31,2362.50
275.06,2395.25
276.78,2420.25
278.48,2455.75
280.20,2492.75
281.94,2530.50
283.61,2573.50
285.33,2621.00
287.02,2669.25
288.72,2726.25
290.42,2781.75
292.16,2851.00
293.84,2918.00
295.55,2997.00
297.27,3078.25
298.81,3173.25
300.52,3278.75
302.20,3393.25
303.88,3509.75
305.58,3642.00
307.27,3796.50
308.98,3924.50
310.67,3942.50
312.38,4195.00
314.05,4332.25
315.75,4564.50
317.41,4869.25
319.09,5235.50
320.80,5420.50
322.61,5203.50
324.34,5096.75
326.03,5335.00
331.17,5342.75
334.62,5006.00
336.33,4899.50
338.05,4865.00
