Angle (°),Distance (mm)
252.95,2338.00
254.59,2394.50
256.27,2455.25
257.86,2524.50
259.50,2600.75
261.12,2685.50
262.77,2773.25
264.31,0.00
269.17,4306.25
270.83,4439.25
274.12,4541.50
275.81,4468.25
277.47,4411.00
279.12,4202.25
280.78,4310.25
285.20,1010.25
289.08,3946.75
292.11,831.75
293.86,833.00
295.44,791.75
297.17,786.75
298.86,787.25
300.36,788.50
301.94,838.50
303.84,3500.00
305.47,0.00
310.00,909.00
311.52,971.75
313.19,974.25
314.75,992.25
316.41,992.50
317.80,0.00
335.70,1689.25
337.28,0.00
340.73,1479.00
342.36,1502.75
344.06,1484.25
345.67,1523.25
352.25,1429.50
353.92,1384.00
357.19,1372.00
358.84,1450.00
0.50,1493.75
2.09,1506.50
3.75,1497.00
5.38,1471.00
7.11,1450.25
8.70,1429.00
15.47,1365.00
17.08,1347.50
19.61,0.00
21.25,4585.75
22.92,4552.00
24.56,4534.00
26.23,4517.50
35.53,0.00
29.38,7283.50
31.03,0.00
32.66,8455.00
34.89,1979.25
36.56,0.00
38.23,1763.50
39.94,1675.75
41.62,1597.25
43.34,1531.75
45.00,1463.25
46.73,1407.00
50.06,1352.50
58.69,0.00
53.39,1332.00
54.98,1332.75
56.58,1399.00
61.66,1144.25
63.38,1094.75
65.09,1047.75
70.00,1078.00
71.62,1086.00
73.14,1115.50
74.77,1149.50
76.38,1181.00
77.97,1216.25
79.62,1258.50
81.25,1300.50
82.83,1347.75
84.55,1398.50
87.42,2313.25
89.06,2393.00
90.67,2410.75
92.33,2529.50
93.94,2661.00
95.56,2799.00
97.20,2656.00
99.19,1735.00
100.89,1613.75
102.55,1645.50
104.25,1599.00
105.89,1597.25
107.50,1592.25
110.77,1605.25
112.36,1630.50
113.39,0.00
115.03,0.00
124.39,0.00
119.97,0.00
121.59,5221.50
124.92,4821.25
126.56,4857.25
128.22,4859.00
129.84,4945.00
131.56,5068.00
133.22,5096.25
134.89,4957.75
136.52,5004.50
138.16,4984.25
139.84,4980.00
144.75,5298.75
156.38,0.00
158.06,4204.50
159.83,3307.25
161.48,3175.25
163.16,3065.00
164.81,2954.25
168.73,1303.75
171.92,0.00
173.14,0.00
174.83,2518.75
176.48,2599.00
178.09,2698.00
179.69,2812.50
181.36,2819.50
196.25,0.00
199.59,2547.50
201.23,0.00
202.92,2441.75
204.59,2432.00
206.23,2421.75
207.91,0.00
209.56,2335.75
211.25,2308.25
212.88,2416.00
214.58,2280.00
216.20,2307.25
217.84,2283.50
219.53,2239.25
221.19,2252.75
222.81,2326.00
224.47,2344.75
228.41,0.00
230.06,1110.25
231.84,1048.25
236.73,1075.00
238.31,1112.50
239.88,0.00
242.59,2228.50
244.30,2115.75
245.91,2132.00
247.58,2174.50
249.20,2221.50
250.86,2269.75
252.45,2321.25
254.09,2377.25
255.73,2435.00
257.33,2502.75
258.98,2574.50
260.62,2659.00
262.25,2743.75
263.75,0.00
267.03,0.00
281.27,0.00
275.30,4476.50
276.95,4440.50
278.62,4360.00
281.94,4276.75
284.70,1014.50
286.31,1013.50
288.56,3953.75
291.66,0.00
293.27,832.25
294.95,0.00
296.61,787.00
298.38,787.50
299.92,787.75
301.41,846.00
303.38,0.00
305.00,3554.00
311.09,0.00
312.69,973.25
314.28,979.50
315.92,993.25
322.41,1103.25
333.52,1744.50
335.14,0.00
336.88,0.00
338.58,1567.75
340.28,1479.75
341.94,1503.00
343.56,1496.75
345.14,1515.50
351.80,1439.75
353.42,1397.25
358.34,1440.50
359.98,1475.50
1.61,1520.00
3.27,1495.50
4.94,1477.00
6.59,1456.00
8.22,1435.50
14.94,1367.50
16.61,1350.50
18.27,1350.25
26.81,0.00
20.78,4596.75
22.44,4564.50
24.08,4535.50
25.73,4522.00
35.06,0.00
28.91,7293.75
30.58,7316.50
32.19,8345.75
34.39,0.00
36.08,1920.00
37.77,1790.75
39.48,1700.75
41.14,1619.25
42.81,1543.25
44.48,1479.00
46.22,1422.25
47.88,1413.25
49.58,1352.75
51.25,1353.75
52.86,1338.75
54.56,1329.75
62.84,1106.50
64.55,1059.25
69.42,1080.00
71.12,1078.50
72.66,1106.50
74.36,1140.50
75.95,1170.50
77.56,1206.50
79.11,1248.00
80.70,1289.50
82.38,1334.25
84.09,1384.25
86.91,2295.75
88.61,2369.75
90.22,2379.00
91.84,2497.75
93.47,2622.25
95.06,2758.00
96.72,2683.25
98.69,0.00
100.47,1617.75
102.05,1623.25
103.73,1607.00
105.41,1598.75
107.03,1594.50
110.30,1600.00
111.91,1613.75
120.62,0.00
114.59,4752.00
116.22,5017.50
119.48,5375.75
121.14,5188.75
124.45,4822.25
126.11,4801.50
127.75,4860.75
129.39,4893.50
131.09,5024.50
132.72,5088.00
134.38,4991.25
136.05,4973.25
137.70,4954.50
139.33,4976.00
144.28,5312.25
145.94,0.00
156.00,0.00
157.56,4244.00
159.30,3338.50
162.64,3095.00
165.98,2921.75
168.33,1305.50
174.31,2574.25
175.97,2568.75
177.59,2672.50
179.20,2781.25
180.86,2833.75
197.39,2612.00
199.05,2557.00
200.70,2575.50
202.39,2444.75
204.05,2434.50
205.75,2425.00
207.39,2414.00
209.06,2341.00
210.72,2315.50
212.34,2352.00
214.02,2282.50
215.67,2292.50
217.34,2306.75
219.00,2246.25
220.66,2240.75
222.30,2299.00
223.94,2351.00
226.34,0.00
229.59,1084.50
231.23,1063.25
237.78,1123.00
239.44,0.00
242.06,2275.00
243.80,2150.25
245.42,2121.25
247.06,2163.50
248.70,2204.25
250.36,2251.25
251.92,2300.75
253.61,2354.75
255.22,2418.50
256.84,2483.25
258.50,2553.50
260.12,2631.75
261.78,2710.50
270.88,0.00
268.16,4189.50
271.45,4444.00
274.78,4485.75
276.42,4464.25
278.09,4400.00
281.44,4300.75
285.86,1012.75
288.05,0.00
289.72,3942.50
292.75,831.75
294.44,833.75
296.09,790.50
297.75,787.50
299.50,787.75
310.44,0.00
304.48,3521.00
307.05,0.00
310.67,906.75
312.14,972.00
313.86,976.00
315.47,991.50
332.94,1729.00
334.64,1699.50
339.69,1516.50
341.33,1485.50
342.98,1502.50
344.64,1497.00
346.27,1528.75
352.91,1412.25
354.64,1360.75
357.84,0.00
359.52,1460.00
1.09,1516.75
2.73,1496.50
4.42,1485.00
6.06,1463.00
7.73,1442.50
16.09,1358.50
17.75,1351.75
20.23,4611.75
21.89,4567.75
23.55,4542.25
25.19,4531.00
26.84,4500.75
28.38,7328.50
30.02,7294.50
31.66,8498.50
35.50,1933.50
37.20,1828.25
38.92,1734.00
40.59,1645.25
42.28,1571.00
43.95,1512.75
45.66,1441.00
47.36,1402.25
49.05,1352.25
50.69,1351.25
53.97,1327.00
55.64,1339.75
57.30,0.00
62.27,1124.75
63.97,1075.75
70.56,1073.00
72.17,1098.25
75.42,1161.25
77.02,1194.25
78.59,1231.00
80.22,1272.75
81.84,1318.50
83.56,1364.00
85.12,1419.25
86.39,0.00
88.05,2322.50
89.69,2362.00
91.30,2460.75
92.94,2574.50
94.55,2706.00
96.22,2815.00
98.14,0.00
99.91,0.00
101.55,1611.25
103.17,1615.50
104.86,1601.50
106.48,1595.75
108.14,1598.00
109.77,1584.25
111.39,1612.00
114.03,4825.25
115.66,5005.25
120.59,5182.25
122.22,5249.75
123.91,0.00
125.55,4788.50
127.20,4845.00
128.84,4871.25
130.55,4990.00
132.19,5081.00
133.88,5050.50
135.50,4931.00
137.14,5028.25
138.83,4970.25
145.38,5265.50
157.03,4317.00
158.77,0.00
160.44,3245.00
163.75,3029.50
165.45,2923.00
167.70,1317.00
169.34,1317.50
170.94,1466.00
172.42,1613.00
173.78,2597.00
175.44,2537.00
177.05,2640.25
178.67,2750.25
180.28,2847.75
196.83,2615.00
198.50,2560.00
200.17,2564.00
201.83,2448.50
203.53,2438.25
205.19,2429.75
206.88,2418.75
208.53,2337.50
210.20,2326.25
211.83,2314.50
213.52,0.00
215.14,2282.75
216.80,2312.50
